,Sharpness (Lap. var.),Classifier acc.,Classifier conf.,FID (clf. features),Intra-class diversity,Test recon. MSE,Recon. sharpness
Real test images,0.22765737771987915,0.9898999929428101,0.9895386695861816,1.5981445974773578,5.595623970031738,,
Baseline cVAE,0.10151074330012004,0.9902333418528239,0.9868770440419515,78.58064933079648,4.464916388193767,0.01459172461181879,0.10528289526700974
cVAE + discriminator,0.19691398243109384,0.996566653251648,0.9943215052286783,6.898952459499394,5.347677548726399,0.01346449926495552,0.19180217385292053
